ISO3 Alpha-code,population
BDI,12617036.000000002
COM,802163.4999999998
DJI,1105188.5000000002
ERI,3291270.5
ETH,118917671.5
KEN,52217333.500000015
MDG,28953556.499999996
MWI,19533887.5
MUS,1283223.0000000005
MYT,284370.50000000006
MOZ,30783688.000000004
REU,861446.0
RWA,13065837.000000004
SYC,120291.0
SOM,16651190.499999996
SSD,10698466.999999998
UGA,44457152.50000001
TZA,60972797.49999999
ZMB,19059394.999999993
ZWE,15526888.5
AGO,33451132.499999993
CMR,26210557.999999996
CAF,5026628.499999998
TCD,17224679.0
COG,5752790.499999999
COD,95989998.00000003
GNQ,1716468.5
GAB,2322538.9999999995
STP,217434.49999999997
DZA,44042090.99999999
EGY,109315123.49999997
LBY,7045399.000000001
MAR,36584207.99999999
SDN,46789231.0
TUN,11974056.999999996
ESH,549365.0
BWA,2365893.500000001
SWZ,1192729.4999999998
LSO,2235726.4999999995
NAM,2728761.500000001
ZAF,60562381.0
BEN,13070169.0
BFA,21478689.5
CPV,514679.50000000006
CIV,28915449.5
GMB,2515733.5000000005
GHA,31887809.0
GIN,13371183.000000004
GNB,2013254.9999999998
LBR,5149463.5
MLI,21713835.5
MRT,4600131.000000001
NER,23717613.499999996
NGA,213996181.00000006
SHN,5430.000000000001
SEN,16789219.5
SLE,7912558.000000001
TGO,8669720.500000002
KAZ,19482116.999999996
KGZ,6664139.5
TJK,9749310.5
TKM,6949912.000000001
UZB,33586372.00000001
CHN,1426106093.0
HKG,7490235.5
MAC,683066.4999999999
TWN,23663459.000000004
PRK,26136311.999999996
JPN,126304543.00000001
MNG,3290785.4999999995
KOR,51858481.5
AFG,39068979.000000015
BGD,166298024.0
BTN,770006.0000000001
IND,1402617695.5
IRN,87723443.00000001
MDV,502118.5
NPL,28966574.5
PAK,235001745.99999997
LKA,22561807.000000004
BRN,447403.49999999994
KHM,16725473.5
IDN,274814865.49999994
LAO,7346532.499999998
MYS,33889558.5
MMR,53016521.5
PHL,112081264.00000001
SGP,5620150.500000001
THA,71641483.49999997
TLS,1326053.4999999998
VNM,98079190.99999999
ARM,2890892.5
AZE,10181730.0
BHR,1483077.0
CYP,1302247.5
GEO,3795677.9999999995
IRQ,42116604.5
ISR,8800375.999999998
JOR,10865227.500000002
KWT,4400143.999999999
LBN,5702397.5
OMN,4522496.499999999
QAT,2803375.0000000005
SAU,30991207.000000004
PSE,5069692.000000001
SYR,21049428.999999993
TUR,86091691.5
ARE,9448524.000000004
YEM,36134863.49999999
BLR,9350944.0
BGR,6933651.999999999
CZE,10550129.5
HUN,9749456.5
POL,38171011.99999999
MDA,3069131.0000000005
ROU,19392468.999999996
RUS,146371298.5
SVK,5455023.5
UKR,44680014.5
DNK,5831530.000000001
EST,1329669.5000000002
FRO,52586.5
FIN,5529612.0
GGY,63105.499999999985
ISL,366614.0000000001
IRL,4982606.5
IMN,84063.5
JEY,103130.00000000001
LVA,1901123.5000000002
LTU,2795764.5
NOR,5379273.499999999
SWE,10353686.5
GBR,67351861.50000001
ALB,2871953.499999999
AND,77380.00000000003
BIH,3299349.5000000005
HRV,3953958.0000000005
GIB,36173.00000000001
GRC,10699369.000000002
VAT,528.0
ITA,59912769.0
XKX,1751417.0
MLT,518206.49999999977
MNE,607935.0000000001
MKD,1872015.4999999998
PRT,10370519.000000002
SMR,34768.50000000001
SRB,6907811.999999998
SVN,2102419.5
ESP,47679489.0
AUT,8921404.999999998
BEL,11540107.0
FRA,65905277.499999985
DEU,83628708.50000001
LIE,38767.0
LUX,630597.0
MCO,38050.5
NLD,17636731.000000004
CHE,8640581.500000002
AIA,14842.999999999996
ATG,91846.00000000001
ABW,107400.5
BHS,395862.50000000006
BRB,281698.00000000006
BES,26453.0
VGB,37134.49999999999
CYM,68684.5
CUB,11176354.0
CUW,185017.9999999999
DMA,67573.00000000001
DOM,11008300.000000004
GRD,116341.00000000003
GLP,407394.0000000001
HTI,11243848.000000004
JAM,2830739.0
MTQ,356614.5
MSR,4507.499999999999
PRI,3275805.0
BLM,10543.0
KNA,46870.0
LCA,178250.5000000001
MAF,31785.999999999996
VCT,103526.0
SXM,41007.5
TTO,1481023.5
TCA,44385.500000000015
VIR,87706.49999999997
BLZ,390811.50000000006
CRI,5034320.0
SLV,6234673.500000001
GTM,17357325.499999996
HND,10119640.5
MEX,126799054.49999999
NIC,6565267.000000003
PAN,4293260.999999999
ARG,45191964.49999998
BOL,11816299.500000002
BRA,208660842.49999997
CHL,19370624.000000004
COL,50629997.5
ECU,17546064.499999996
FLK,3505.5000000000005
GUF,289055.50000000006
GUY,807481.5000000002
PRY,6603739.499999999
PER,32838579.5
SUR,612316.5
URY,3398968.0000000005
VEN,28444077.499999996
BMU,64381.99999999999
CAN,38171902.0
GRL,56079.49999999999
SPM,5826.999999999999
USA,339436158.49999994
AUS,25743790.999999993
NZL,5069894.999999999
FJI,914963.0
NCL,284176.5
PNG,9815745.5
SLB,744498.0
VUT,298858.5
GUM,162158.00000000006
KIR,126098.99999999999
MHL,42706.5
FSM,110916.49999999999
NRU,11643.0
MNP,47527.99999999999
PLW,17791.999999999996
ASM,49761.50000000001
COK,15643.500000000002
PYF,279209.0
NIU,1798.5000000000002
WSM,211944.0
TKL,2128.000000000001
TON,105703.5
TUV,10399.500000000004
WLF,11616.000000000002
